,Brand,Car_model,Year
0,Aston Martin,Aston Martin Vantage GT12 awd,2016
1,Aston Martin,Aston Martin Vanquish ,2006
2,Bugatti,Bugatti Type 35 ,2022
3,Bugatti,Bugatti Divo ,2022
4,Ferrari,Ferrari F12 tdf ,2017
5,Ferrari,Ferrari 296 GTB ,2023
6,Koenigsegg,Koenigsegg Agera R ,2014
7,Koenigsegg,Koenigsegg Regera ,2019
8,Lamborghini,Lamborghini Aventador ,2019
9,Lamborghini,Lamborghini Veneno ,2015
10,McLaren,McLaren P1 ,2015
11,McLaren,McLaren 620R ,2020
12,Mercedes-Benz,Mercedes-Benz GLS Class ,2023
13,Mercedes-Benz,Mercedes-Benz SLR McLaren ,2006
14,Pagani,Pagani Huayra Roadster ,2020
15,Pagani,Pagani Huayra ,2013
16,Porsche,Porsche 911 Turbo S ,2021
17,Porsche,Porsche Carrera 4 ,2022
